area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;upm;id_vivienda;id_hogar;fexp;periodo
1;010150;000801;009;01;1;2;2;2;2;2;3;2;3;3;2;2;3;3;2;3;2;2;2;2;3;2;3;2;2712;010150000801;01015000080100901;010150000801009011;51,9379230639756;201909
1;010150;000801;009;02;1;2;2;2;2;3;2;3;2;3;2;3;2;3;2;3;2;2;2;2;2;2;3;2;2712;010150000801;01015000080100902;010150000801009021;51,9379230639756;201909
1;010150;000801;009;03;1;2;2;2;2;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;3;2;3;2;2712;010150000801;01015000080100903;010150000801009031;51,9379230639756;201909
1;010150;000801;009;05;1;2;2;2;2;2;2;2;2;3;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2712;010150000801;01015000080100905;010150000801009051;51,9379230639756;201909
1;010150;000801;009;06;1;2;2;2;2;3;2;2;2;2;2;3;3;2;2;3;2;2;2;2;2;2;2;2;2712;010150000801;01015000080100906;010150000801009061;51,9379230639756;201909
1;010150;000801;009;08;1;3;2;2;2;3;2;2;2;3;2;3;2;3;2;3;2;2;2;2;3;2;3;2;2712;010150000801;01015000080100908;010150000801009081;51,9379230639756;201909
1;010150;000801;009;09;1;3;2;2;2;3;2;3;2;2;2;3;2;3;2;3;2;2;2;2;2;2;3;3;2712;010150000801;01015000080100909;010150000801009091;51,9379230639756;201909
1;010150;003304;012;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;010150003304;01015000330401201;010150003304012011;84,7001986101811;201909
1;010150;003304;012;02;1;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2711;010150003304;01015000330401202;010150003304012021;84,7001986101811;201909
1;010150;003304;012;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;1;2711;010150003304;01015000330401203;010150003304012031;84,7001986101811;201909
1;010150;003304;012;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;010150003304;01015000330401205;010150003304012051;84,7001986101811;201909
1;010150;003304;012;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;010150003304;01015000330401206;010150003304012061;84,7001986101811;201909
1;010150;003304;012;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;010150003304;01015000330401207;010150003304012071;84,7001986101811;201909
1;010150;003304;012;08;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;010150003304;01015000330401208;010150003304012081;84,7001986101811;201909
1;010150;003603;012;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;3;3;2713;010150003603;01015000360301201;010150003603012011;191,21046273728;201909
